0,1,2,3,4,5,6,7,8,9,10,11,12,Gender
-350.1048,108.08212,-31.229578,5.146845,-23.83132,-36.26581,-9.189133,-23.204203,-27.207525,-13.289354,-16.362703,-12.08977,-12.799852,F
-263.6413,72.62679,37.53314,41.606564,-0.12278723,14.086767,-22.748966,-19.368837,8.266215,7.6482,-10.124209,6.8913054,-6.191613,F
-289.3279,119.091415,16.503813,16.848438,-3.849618,-8.967318,-6.9814672,-17.34257,-12.610687,0.96359015,-10.4206085,-9.537329,-4.104046,F
-250.42787,73.0364,5.023339,50.524136,-20.487873,11.275338,-8.907423,4.890896,4.4161434,-5.6009283,3.6306894,5.864505,-4.9956594,F
-237.11687,75.63825,3.9400127,17.0568,5.4551587,-10.853058,-8.615611,-13.808127,-8.038596,-0.36644998,-11.0886135,-4.1602783,-7.5895967,F
-317.4529,123.22097,10.272617,17.331581,-5.7046037,6.8954306,-17.579466,-13.864539,-11.147907,-10.716543,-7.159738,1.1768398,-5.904127,F
-288.59598,75.705696,-22.90189,3.5629244,-7.8175344,-12.869458,-32.666153,-0.96129644,-18.987537,-9.871442,-19.105238,-1.8824371,-16.533825,F
-384.42557,110.82088,16.092442,33.66242,7.2243614,3.2693217,-18.573143,-24.856117,3.903271,4.916147,-20.62463,-5.1955814,5.242588,F
-396.118,86.56326,4.632643,-1.5893177,12.79951,-16.319317,-35.361206,-5.061648,-23.24236,-17.538774,-16.631308,-8.476462,-12.367302,F
-341.10925,80.41586,31.57333,25.724005,16.656439,-4.7122355,-17.976776,-3.447255,-12.855503,5.2124033,-12.591858,5.885025,-3.7232816,F
-365.83865,103.90046,8.535519,46.069122,-11.80579,8.388447,-12.829737,4.8492785,-20.912613,13.713949,-14.437504,0.831357,-4.801263,M
-253.84798,129.78369,14.059482,17.919037,17.317608,-1.102878,4.157213,-2.8076274,2.598067,-0.9931694,-8.003589,-5.5832243,-9.370551,M
-290.87906,136.14554,-0.55330306,43.238934,18.63201,-4.3613453,-13.794288,3.3605201,-17.856066,-17.904324,-10.455697,-3.4115176,-0.4752611,M
-543.182,128.24623,-14.162225,22.450542,20.105701,-5.632644,-15.294337,-14.791513,-4.652125,-6.4287405,-8.333508,-3.4977484,-2.9548562,M
-141.53175,121.184975,-9.633971,44.573975,3.2442827,6.49665,-4.251127,5.554889,-6.7418714,-11.984973,-2.3218014,7.1013007,-3.8688135,M
-380.5514,122.2361,21.596045,26.587059,-2.1281464,-4.1348195,11.435743,-3.9770145,-8.033895,-1.4205967,-10.737077,0.008691385,2.4235744,M
-204.45213,131.18092,-7.348013,25.611002,5.0516286,8.915738,-9.874191,-4.4343057,-7.9295015,-8.164618,-1.3112736,2.2245932,-1.2438395,M
-289.29645,158.90385,0.82464576,20.968456,20.87935,-15.30034,-31.552986,2.9596808,-7.580332,-17.77226,-11.735539,-7.955144,-5.296637,M
-483.94388,114.112976,7.0658307,29.751305,12.91112,8.543338,-1.4392638,-7.9148407,-9.767023,-8.767698,-9.618255,-8.073195,-5.31118,M
-263.7362,127.49165,-13.203354,19.064297,14.241613,-5.1792493,-4.948266,-5.7900567,-5.552553,2.4603891,-3.933014,0.68438596,-8.63143,M
