0,1,2,3,4,5,6,7,8,9,10,11,12,Gender
-423.45193,58.089066,-24.702543,20.479845,-9.324167,1.8301427,-15.952717,-16.05199,-17.06708,-9.57866,-3.260925,-7.075751,-6.939365,M
-314.5662,130.81305,-52.916336,30.596134,8.158245,-25.563534,-11.247474,-13.634462,-19.344921,-17.006086,-15.362623,-9.323466,-9.167624,M
-326.58572,150.42308,-14.021748,13.780667,1.91285,4.059244,-13.950055,-5.525473,-21.506798,-8.975996,-8.065133,-12.770766,-0.6224517,M
-391.47177,122.89488,31.13436,20.492306,4.017022,7.2694187,-14.926802,2.4330485,-23.58822,-7.8333173,-12.523981,-9.101804,-7.7854567,M
-284.01328,130.51633,-5.3341527,9.015629,2.2139902,-10.544295,-12.102945,-10.563928,-13.953804,-12.749711,-10.826887,-6.2012916,-4.782575,M
-334.009,129.8461,-0.71932924,42.11615,-2.6710038,2.0122871,-9.877626,0.89601505,-7.832752,-2.612183,-0.40254214,-10.035535,-4.3458967,M
-279.4968,152.21326,-39.740215,33.70522,-15.486132,5.899799,-15.223314,-32.745155,-10.297832,-2.7198775,-17.438684,-13.464851,9.534479,M
-353.95532,123.28332,14.280593,34.433456,28.806412,14.421641,-9.433102,-5.6966834,-14.761904,-10.008802,-10.764789,-1.1982089,-9.6243925,M
-248.14557,125.095924,12.948224,24.980988,17.244936,1.6880758,-12.897138,8.019569,-6.541701,-1.2175999,-12.774314,8.066321,-7.1098385,M
-439.0058,129.47127,-23.408756,24.795324,-5.4139156,-23.996609,-23.637716,-15.231966,-7.2849994,-9.598034,-15.259364,-12.934554,-10.903503,M
-386.00034,104.972984,29.259521,21.247023,19.299551,-4.612027,4.1518803,-9.350271,-7.579276,-4.029821,-8.459247,-5.338872,2.1049838,M
-394.33026,118.75785,28.1341,30.955605,18.453417,0.33053765,-18.313465,-12.949606,-12.696333,-13.413178,-16.20639,-5.516018,-7.873031,M
-268.9336,95.193954,-12.405628,33.87239,3.409997,3.2876487,-29.133963,-19.082428,-13.350062,-13.961065,-15.62676,-10.4932,-3.6626916,M
-290.4796,115.32682,-13.2001095,9.387957,19.372948,7.321942,5.872336,-27.723673,-5.5095315,-4.5527096,-23.070772,2.7478278,-19.760569,M
-259.15823,105.417915,5.155783,22.573885,13.573539,-3.5744042,-16.096916,-1.2182243,-7.6183906,-5.514842,-18.547316,0.5184193,-2.1241977,M
-81.062416,104.09075,-2.9124134,28.718748,-10.642162,7.453937,-18.958914,-0.71027136,-1.8209344,10.472027,-5.1634927,9.121577,2.8523524,F
-323.15637,123.67485,-11.003745,29.09675,2.866342,6.8094687,-25.093107,-2.0704718,-21.497276,-2.5786438,-10.571217,-1.9240005,-6.707419,F
-251.26694,87.83226,6.928035,13.309347,-1.8577677,-27.149996,-8.420904,-13.479295,-18.833796,-13.314598,-7.3190517,-7.6377826,-9.822302,F
-275.26996,111.783424,-31.701687,39.458824,-19.143854,11.578048,-21.454123,-1.8216966,-19.353592,-3.5323286,-7.5474257,-14.343829,2.8229358,F
