Chroma_CENS_0,Chroma_CENS_1,Chroma_CENS_2,Chroma_CENS_3,Chroma_CENS_4,Chroma_CENS_5,Chroma_CENS_6,Chroma_CENS_7,Chroma_CENS_8,Chroma_CENS_9,Chroma_CENS_10,Chroma_CENS_11,Gender
0.17423022,0.12067632,0.13318524,0.12560815,0.15080088,0.1977077,0.2887223,0.33203542,0.4411061,0.4383974,0.27026686,0.21220225,F
0.122354664,0.11163047,0.12066454,0.10721916,0.13746023,0.16250771,0.33340588,0.4318904,0.46698174,0.42568454,0.23641597,0.19019777,F
0.16405447,0.15594055,0.19496535,0.3036049,0.47564897,0.48754075,0.2538018,0.21175388,0.1368373,0.122809425,0.16014178,0.2090768,M
0.25617984,0.22753614,0.2283249,0.24960254,0.25070107,0.25304013,0.21982817,0.2625262,0.36211845,0.40755,0.29339886,0.26724607,M
0.4032599,0.296229,0.19725575,0.1132269,0.10730619,0.15294169,0.16604504,0.22057241,0.16774578,0.2739328,0.45092893,0.42069712,M
0.34849134,0.23218505,0.18798853,0.187687,0.16473645,0.18019377,0.2646189,0.21064995,0.1683442,0.1873261,0.32351962,0.48751092,M
0.29168892,0.3126828,0.2744702,0.24810238,0.24306771,0.22211592,0.22435981,0.2105383,0.2569351,0.3450903,0.35327256,0.31713003,M
0.463115,0.36800948,0.20941895,0.133578,0.11175546,0.17548606,0.22771725,0.25299075,0.18290257,0.14050974,0.22561671,0.4469695,M
0.21607444,0.12137442,0.073817775,0.121400185,0.28505138,0.3398589,0.4017043,0.38178408,0.28464538,0.35935083,0.22326946,0.26979858,M
0.19801112,0.18910837,0.15119463,0.16590595,0.20340466,0.24898803,0.2455764,0.2380215,0.26576528,0.38940898,0.40091586,0.30146465,M
0.32686892,0.31478497,0.33244732,0.30714133,0.2767861,0.23680685,0.20706736,0.16641256,0.18986225,0.21640474,0.293384,0.3035951,M
0.18360929,0.19458477,0.23773247,0.22391294,0.22508994,0.25453955,0.30452272,0.37473503,0.34159008,0.31056696,0.2777376,0.22365478,M
